id,hhb,hbo2,ca,na
10000,8.488871,3.8008318,9.751056,3.4343708
10001,5.3139534,3.875445,7.650451,2.8129275
10002,10.614749,4.927443,9.705365,3.8046358
10003,8.712585,4.4546194,10.229347,3.278377
10004,6.452254,3.2110822,8.54211,4.5949183
10005,8.9560375,4.196412,10.066703,2.2447596
10006,5.3829756,3.2677307,8.644306,2.302821
10007,8.675736,4.800606,11.161951,2.5764425
10008,8.467036,4.297186,8.180197,3.1418834
10009,9.165712,3.7782128,8.330362,2.6815052
10010,9.1680565,3.4691384,10.19966,5.089592
10011,8.13319,3.3304508,5.4912763,3.347506
10012,9.663366,4.1765966,7.169424,2.4917088
10013,6.422824,4.1546226,10.202955,2.7767131
10014,9.295646,4.1262093,7.357354,1.8230137
10015,5.0606527,3.347453,6.460425,3.7688348
10016,10.507111,3.4190938,8.857679,4.2153287
10017,8.741116,4.205455,9.463936,2.5543408
10018,9.808878,4.2662535,7.9991584,3.110769
10019,5.063817,4.1903377,7.3608766,1.0275116
10020,8.280655,3.4021344,8.375465,3.9484115
10021,12.036289,4.3156037,11.475325,2.4076107
10022,11.220234,4.725992,11.416536,3.1099188
10023,6.0432568,4.095837,8.712172,3.0996146
10024,7.0933537,4.3374505,9.568089,3.4345274
10025,9.503927,4.121499,7.321886,3.305232
10026,13.156272,3.8275452,8.301833,1.5136706
10027,11.933078,4.4420805,12.280056,3.9945529
10028,1.9184678,3.5505824,7.596577,2.4869382
10029,9.432246,4.075152,7.306009,4.1414337
10030,3.892509,3.5505476,6.670678,2.0058322
10031,7.741395,3.1094573,7.8772435,3.3069623
10032,13.274631,4.8404474,11.899121,3.210284
10033,7.848443,4.3068104,10.243637,3.7886486
10034,11.602594,4.396848,12.765227,3.4450862
10035,6.6429873,3.5308692,7.752683,3.5040028
10036,8.781397,4.208288,7.8158207,3.8010478
10037,6.01432,3.9331837,6.848825,2.3902736
10038,8.9551735,4.429844,9.041553,2.6991544
10039,7.4606547,3.2933004,8.912004,3.1653967
10040,4.5516467,3.9046078,8.936453,3.4164224
10041,7.1265903,4.156823,9.12148,3.5973632
10042,6.7141147,4.3568144,11.172776,2.7360938
10043,13.268828,3.2247553,10.515588,3.6620052
10044,6.43173,4.391734,9.925237,2.9934196
10045,8.483286,4.5819316,11.900552,3.0477006
10046,6.789052,4.1146965,9.512854,2.6147728
10047,7.386072,4.1391864,9.445945,2.8413522
10048,6.789924,3.440917,8.415647,3.5375423
10049,7.824505,4.599591,9.337167,3.1779718
10050,7.492751,3.7060654,9.487893,1.706809
10051,8.653917,4.3202214,7.815825,3.2103307
10052,9.881619,4.388565,9.005837,2.802626
10053,7.1264243,3.8755107,9.91246,2.7720156
10054,6.264724,3.758174,8.474033,3.0874665
10055,7.9576683,3.0622644,13.980451,4.2402506
10056,10.834079,4.9859085,10.543804,4.4009495
10057,12.1670475,4.1729913,8.996835,2.1669502
10058,10.281261,4.081173,10.42576,3.8242805
10059,10.195719,3.8467948,6.7586,5.8939466
10060,12.518241,2.9134007,6.7001743,2.6132758
10061,12.342275,4.1853304,10.930288,1.5260849
10062,4.627839,3.362169,7.8714347,2.3660805
10063,12.736809,4.5566397,8.057404,3.9870257
10064,6.7873297,3.4068475,7.2115397,3.6033776
10065,13.756416,4.119756,10.387913,2.2423177
10066,8.33099,3.3660467,8.593957,4.0019436
10067,10.017212,3.5334392,6.7558928,3.0605457
10068,9.29178,4.2368,9.492773,2.8061924
10069,11.0974245,5.0073414,11.175297,2.7113855
10070,7.263738,3.9920015,8.280573,3.008695
10071,-0.610121,3.474234,9.814708,3.3111446
10072,6.940635,4.0772524,14.3809395,3.1105847
10073,7.283895,3.3986268,9.722258,3.1621394
10074,5.3244376,3.7963521,8.63192,3.134178
10075,7.8005366,5.607603,13.950678,1.5438061
10076,9.628564,4.095068,11.143679,2.3867114
10077,7.846492,4.3079457,10.26484,2.4494705
10078,10.596705,4.05884,8.147436,3.6804974
10079,12.276509,4.1093917,9.009406,2.5166168
10080,6.7609363,3.6769383,8.230177,2.8240511
10081,9.028396,4.100072,8.252399,2.668279
10082,11.96893,4.5002027,10.710688,3.2766488
10083,6.6130195,3.3047514,10.524499,1.6808803
10084,5.6432385,3.5441976,7.0532064,4.509711
10085,11.229851,4.1048217,6.0851293,4.761453
10086,10.510523,4.596209,7.7544546,2.6038246
10087,11.934762,4.6241145,9.97918,3.3921304
10088,6.0188165,3.3136942,7.648311,3.2217672
10089,9.559204,4.9832387,8.732185,1.6624645
10090,6.5136347,4.0618696,10.595796,2.0759265
10091,2.7630553,3.8648515,9.100129,1.9977112
10092,3.4693604,3.1050332,10.085074,0.43108818
10093,4.352314,3.9237857,7.4374824,1.0973178
10094,7.8898945,3.3695183,5.556931,1.0855213
10095,2.4636698,3.771809,7.2376256,1.875207
10096,-0.38522154,3.4676464,10.843819,2.0497956
10097,5.5325594,4.5517635,9.100841,3.2327673
10098,10.316254,4.426745,10.386703,2.4607306
10099,8.462606,4.137205,9.441989,2.725345
10100,5.2311544,4.084407,8.113563,2.6565065
10101,3.958432,4.2222805,10.331975,1.1147308
10102,2.3187127,2.9520946,8.85568,2.2561262
10103,4.247855,3.9435048,9.720289,2.892554
10104,5.1188173,3.5312166,8.252552,0.10006389
10105,10.63893,3.89117,5.621367,2.3667567
10106,10.326935,4.0767546,10.979272,4.151704
10107,8.105196,3.227014,10.1586075,2.7439933
10108,9.648831,4.612896,8.365803,2.2391448
10109,8.756364,4.3482456,9.902914,3.679651
10110,11.524885,4.509917,11.724675,0.94928515
10111,9.942101,4.57184,9.306108,3.3517718
10112,7.7973747,4.7423177,8.679668,4.3232546
10113,11.247574,4.8071876,10.973192,2.804198
10114,7.3818927,4.131803,8.278265,3.2808313
10115,5.218891,2.8044217,4.243166,3.677572
10116,9.8761835,4.1768293,7.8548226,2.5601788
10117,7.5294914,3.8779614,10.003838,2.2090816
10118,9.4130945,3.904578,7.846836,3.065594
10119,11.517372,4.4194174,9.12121,3.5453765
10120,6.865043,3.7690897,10.047683,3.2274587
10121,6.8529887,2.9155905,8.920507,3.9429376
10122,6.645434,4.5317817,9.292391,1.9091644
10123,3.8933175,3.2157893,8.348296,1.3858228
10124,4.547358,3.7639663,9.375249,2.4915547
10125,4.0417223,3.8942652,6.756089,4.6194572
10126,4.583619,3.5597966,5.5888305,2.837848
10127,3.7674093,3.8087525,9.217082,3.695154
10128,8.868212,4.254189,10.43573,3.3929915
10129,6.574205,3.9018219,10.884818,2.7853565
10130,8.739377,3.862795,11.07492,2.8991857
10131,6.492723,4.3982553,12.160404,1.7771236
10132,9.435035,3.6665127,8.482597,2.521098
10133,10.4034605,4.1453743,7.008569,3.146591
10134,8.843216,3.8261302,7.7830315,3.1576803
10135,6.672214,3.0836277,8.657967,3.6698341
10136,10.350962,3.7289224,10.223225,2.9395814
10137,9.343637,4.1377096,9.432814,1.6216085
10138,6.4672685,4.0175724,8.053169,3.385537
10139,8.99576,4.486683,11.309227,1.5251863
10140,6.541276,3.6084516,7.9869947,1.9329447
10141,4.1248226,3.218376,5.332806,2.2343903
10142,6.2437344,2.7251763,5.74659,3.932076
10143,4.672138,3.7888224,9.441454,2.5912437
10144,5.1841407,4.202776,9.527332,2.9458745
10145,9.133101,3.6290584,10.074417,3.4456053
10146,9.139867,3.7201052,9.1098385,3.2633262
10147,8.236526,2.7240527,8.011499,2.9611547
10148,6.42412,5.162766,9.2147255,2.723183
10149,11.206363,3.1436143,5.811672,3.0499694
10150,6.9395924,4.1120453,8.563291,3.7109857
10151,6.3899174,3.331087,8.986452,2.3832088
10152,6.6782436,4.087346,8.666403,2.5265923
10153,8.117352,4.047613,8.7902155,2.4293327
10154,10.661873,3.6771312,6.4644933,3.0115774
10155,5.550754,4.831168,8.971416,3.183062
10156,6.7496967,4.782596,11.354924,3.2228615
10157,5.7698574,3.0311644,9.041896,3.7772055
10158,7.032333,3.8921316,10.035753,4.340121
10159,13.851698,4.804269,10.589893,2.405589
10160,6.043561,3.606763,8.203983,3.7471604
10161,4.0972958,3.288007,6.6798253,3.1658697
10162,10.797984,4.992982,11.006288,3.3688536
10163,8.016585,4.1364617,8.037367,3.6802092
10164,8.211456,4.2696066,9.195345,3.376597
10165,5.9939365,4.411519,10.979724,4.2584243
10166,6.658012,4.2104,6.6814446,2.8660972
10167,7.024194,4.5655665,10.590919,3.413958
10168,11.593398,4.925533,8.962621,2.6195772
10169,7.720322,4.129729,9.458076,3.0520916
10170,5.568733,4.070374,9.61933,2.8044662
10171,8.554146,4.2113886,9.048279,2.8801425
10172,10.861261,4.030241,9.250997,2.879935
10173,4.018779,3.695733,9.158471,1.9114561
10174,9.468467,4.432561,9.320004,3.5228398
10175,4.046421,4.337967,10.321937,2.4611797
10176,5.930474,4.190422,8.3013115,3.5293279
10177,6.723169,3.964248,8.694706,3.2139668
10178,10.284382,4.023527,8.951572,4.1585894
10179,10.47289,3.478079,10.461005,3.678176
10180,4.4675593,4.322283,9.509135,3.093248
10181,2.5258796,4.0667634,11.777191,3.7252853
10182,5.7981243,4.0552487,9.126458,3.0907207
10183,6.22005,3.830556,8.114734,3.5380948
10184,12.076989,4.592934,10.180392,3.0293384
10185,9.389593,4.295897,9.430266,3.4693005
10186,9.6182,4.234111,8.360678,3.9644735
10187,7.1466975,4.294957,8.058301,3.194096
10188,7.360612,3.7953079,5.922641,2.463448
10189,9.9215145,3.2051644,9.46795,4.042621
10190,11.829997,5.5929694,10.489169,4.574487
10191,8.632174,4.189529,9.16092,4.084554
10192,5.828268,3.3007941,9.178647,2.5456488
10193,15.181713,3.618292,8.491506,5.3241816
10194,8.221525,3.1522076,6.382445,2.3985732
10195,8.419102,3.8638783,9.30955,2.6622188
10196,9.354483,3.4367151,8.514941,3.2777312
10197,11.36757,4.58556,10.548308,3.8383715
10198,3.73554,3.0606167,9.120325,2.2594562
10199,7.361675,4.285363,8.708016,2.2480245
10200,3.4861455,3.1722896,8.8221,2.6930833
10201,6.585749,3.4074025,7.7555766,2.2307124
10202,8.570774,5.381679,11.656108,2.0934846
10203,7.8536735,3.2928698,7.1647396,3.5461905
10204,11.530257,4.3990564,10.475858,4.415802
10205,11.053524,3.9897902,12.680834,1.9959025
10206,7.731399,3.7700722,6.168845,2.2699628
10207,10.130372,4.143753,7.9687095,2.0336614
10208,4.397193,4.160783,10.788085,3.5526476
10209,15.170312,3.6469722,9.354534,3.2339242
10210,7.5507298,4.5749483,9.282847,2.5125666
10211,5.3035693,4.5615935,11.610743,3.827137
10212,6.3645263,3.4232144,6.705877,3.1814125
10213,11.250501,3.994023,9.403705,3.1473858
10214,9.041577,3.9876008,8.85382,4.097397
10215,5.98973,3.019659,8.776419,3.559474
10216,9.243979,3.2974343,10.739883,2.0845382
10217,6.226146,3.4741025,6.2804317,3.0199053
10218,8.775029,3.97094,9.493073,4.715797
10219,10.505192,2.9095783,7.2044005,4.33692
10220,11.98152,4.9362054,9.297887,3.697904
10221,9.71876,3.8818338,8.981456,3.1633246
10222,13.087232,3.8089614,9.449974,3.3841717
10223,11.148226,5.4358,11.4745455,3.9117334
10224,9.755908,4.140209,8.169344,2.9560304
10225,5.872015,3.7768254,6.5408106,2.850513
10226,10.049858,4.936382,11.177266,4.0086308
10227,8.80496,5.013787,8.605918,4.051146
10228,3.1648774,4.2802315,7.627346,4.230892
10229,4.6202154,3.7135856,8.112068,2.5176177
10230,7.499011,3.621306,8.511554,1.6332747
10231,11.764786,4.990878,9.126587,2.5794468
10232,8.531197,4.4301414,8.976511,2.3184915
10233,8.09189,4.5580363,9.373236,2.423874
10234,7.2052755,3.5643635,5.1022573,2.8297026
10235,7.9474,4.775714,7.9361873,3.2645645
10236,8.409566,4.683228,11.048969,2.8242
10237,3.2241025,3.7390459,9.842198,4.2023735
10238,11.177293,4.2530203,9.3211775,2.9240086
10239,13.292267,4.6390185,9.633024,3.4251232
10240,7.1125116,4.619594,9.968342,2.8694541
10241,8.625632,3.8634958,8.392851,3.84391
10242,8.957119,6.1799026,9.153462,0.8135954
10243,10.29201,3.8449502,9.203421,2.5645266
10244,12.669906,4.057929,9.19129,2.8035927
10245,9.468164,2.8837168,7.675309,2.0687766
10246,7.877195,3.9599771,10.02189,4.0073786
10247,11.795375,4.6204343,10.049399,3.1526814
10248,12.83446,4.4789314,9.432896,4.319197
10249,1.9528869,3.6888936,5.177759,2.1540365
10250,4.509677,3.552532,7.6194477,3.0884824
10251,9.586011,4.275544,9.624958,3.2760928
10252,9.045082,4.065155,8.099782,4.155045
10253,5.195041,3.7601707,7.302994,2.8971877
10254,4.8827753,3.9190788,10.74843,2.513415
10255,7.3007565,4.5363717,8.330419,2.0792103
10256,4.7511697,3.4872408,5.707599,3.784313
10257,10.741004,5.0610704,10.613699,3.7770276
10258,9.044713,3.043383,9.369861,3.4860828
10259,13.315402,3.985852,10.154843,4.4174623
10260,5.544486,4.019067,7.7117753,2.4434505
10261,8.849025,4.4406085,10.149498,2.5534086
10262,9.832372,4.295043,3.5913525,2.8052418
10263,10.183902,4.27311,7.8878975,2.9285467
10264,12.945013,4.5673146,11.79174,2.8075538
10265,8.84909,4.3853216,8.175158,3.3361251
10266,8.585327,3.8302994,10.181052,2.4777927
10267,8.902978,2.415969,7.8567595,5.1442533
10268,8.369849,3.9302657,8.952152,5.658176
10269,7.605715,4.1834006,8.837143,2.9976008
10270,4.5016093,3.6682565,9.91081,3.4659908
10271,4.684486,4.1496572,8.167545,2.707984
10272,7.353218,3.526358,7.665401,3.2211146
10273,2.961517,3.9870877,7.191918,1.9311734
10274,5.919154,3.3077435,5.5140047,3.56224
10275,8.703055,3.9105809,8.426863,3.4200666
10276,4.0951834,3.495509,8.759685,2.0862327
10277,9.850127,3.379555,7.7792416,2.8908894
10278,4.2607775,3.729636,9.977018,2.9928634
10279,4.2377596,4.3169785,9.927729,3.3113892
10280,2.9772937,4.080905,10.55914,3.303794
10281,3.6796114,4.147583,6.42685,4.6347594
10282,10.496441,4.919883,10.292677,3.2935336
10283,2.8952043,3.8728495,8.515541,2.2341986
10284,8.99757,3.3109293,9.60879,2.7583969
10285,8.17513,4.204303,6.7816014,2.0381036
10286,4.0134773,3.5874999,6.226288,3.2260826
10287,11.842091,4.0376563,10.586041,3.3797486
10288,6.7671285,3.079431,9.545349,3.2024343
10289,10.720794,4.867021,8.817124,2.8425493
10290,10.802288,4.4375925,8.384304,2.8954206
10291,6.942789,3.4837573,9.088128,2.7316117
10292,5.4110155,3.5414886,5.8010488,2.9361007
10293,5.616462,4.1323633,9.509895,3.9567463
10294,8.925207,4.1773934,8.140779,2.1836689
10295,10.302423,4.37483,9.2582655,2.6271284
10296,6.759812,3.3734162,10.940167,5.213355
10297,9.173312,3.8690429,9.665546,4.4132557
10298,8.0282345,2.7480416,4.683468,3.971238
10299,8.684177,3.923312,7.6527185,2.9420156
10300,2.9483073,3.6750305,8.910557,2.6461864
10301,10.721808,5.676535,9.167513,3.218825
10302,9.218532,4.033143,8.481879,3.1870081
10303,6.6293597,4.237875,6.876567,3.2784956
10304,6.2114377,3.847492,10.457665,2.782491
10305,6.386245,3.8343225,5.34617,3.0110486
10306,6.939203,3.7907493,7.1522746,2.8550231
10307,6.3424616,3.3243215,8.116539,2.5328825
10308,9.51522,5.048899,13.637134,4.2552824
10309,6.823298,3.506247,7.0881677,2.720175
10310,4.9327445,3.2604506,7.7674727,2.5516653
10311,8.749107,4.3759785,9.145756,3.6119597
10312,5.652171,3.8106592,7.0456476,3.8207865
10313,8.836042,5.431517,14.531199,0.60783637
10314,7.2234464,4.3355484,8.308972,3.3717003
10315,8.266108,4.255254,7.710045,3.7257879
10316,9.635272,4.756045,10.059405,3.7258143
10317,5.3706927,3.799978,9.426544,0.90445447
10318,4.955834,4.310743,11.261365,3.043809
10319,14.008212,5.067825,10.613088,2.406602
10320,8.673289,4.0094357,8.677026,2.186385
10321,9.584974,4.384123,9.331435,2.262106
10322,8.968304,4.0787773,11.432765,3.276919
10323,10.524017,3.3619516,8.059908,3.6876495
10324,8.190969,3.9403229,9.5432205,3.6615348
10325,13.552958,4.4402204,9.164033,3.199624
10326,7.585242,4.52039,10.332939,2.6499414
10327,2.913853,4.3641157,7.6611376,3.8269281
10328,5.200332,4.5275397,9.412768,3.2974494
10329,5.534324,4.1959085,9.273012,4.5093956
10330,2.85336,3.8716152,8.8235235,3.518485
10331,6.1010413,3.3502083,8.774591,3.0047638
10332,10.253941,3.8572755,9.298266,3.4393897
10333,6.645675,3.3893368,9.53541,2.5698087
10334,2.733301,3.4360728,8.196981,3.0735564
10335,6.24807,3.1066918,7.7992983,1.8776094
10336,7.659006,3.7126327,7.1982613,1.8390099
10337,7.3233323,4.3451366,7.456304,1.9543424
10338,12.389263,3.7514365,5.4301114,3.661878
10339,9.028059,3.4940825,6.8577127,3.9404266
10340,15.972676,4.7016306,9.2187605,4.1055
10341,6.9320426,4.504135,9.915312,2.7417846
10342,13.404154,4.1690397,11.977009,2.8282034
10343,6.7889156,4.2754445,9.761579,3.4217925
10344,6.1384897,3.7612352,6.806305,2.6731644
10345,4.3727417,4.7261243,8.159923,0.7444933
10346,6.332217,4.987534,9.103575,4.0807266
10347,6.7783055,3.8727171,8.049531,2.8681028
10348,8.088099,4.857672,10.62353,1.2347043
10349,7.7390604,3.0997355,7.495177,1.9004222
10350,8.287584,2.7426538,6.7040796,4.3336563
10351,11.048528,4.718947,7.9469805,3.5553923
10352,9.144326,4.579136,9.70421,2.679053
10353,7.747685,4.1073713,9.156423,2.481124
10354,11.500631,4.905701,8.79114,4.6170874
10355,11.731888,4.33817,7.699641,4.231575
10356,9.517937,2.6457734,5.5889597,2.6019766
10357,9.80385,4.5099106,10.481527,2.4129157
10358,11.652615,4.35602,7.6214166,3.0105155
10359,5.179972,3.5974483,10.302466,2.0751178
10360,8.341433,4.5944843,9.425336,5.025301
10361,8.757776,4.216044,11.186352,3.92916
10362,5.5715494,3.6283352,8.785264,2.5467632
10363,8.04747,4.2124863,8.524794,2.8169763
10364,8.649687,4.3384075,10.321282,3.6638267
10365,6.8658686,4.294545,11.476265,3.225295
10366,4.939279,4.0761538,9.46957,1.7931266
10367,15.526261,4.62158,9.629172,5.3525867
