뉴스 제목	댓글 내용	타입
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	다음 대선 부터는 일단 북한이랑 대화한다니 평화통일한다니 이런 개소리 지껄이는 후보는 믿고 거르고 오로지 민생 챙기고 국방력 강화하고 반북,반중,친미,극일하는 후보 뽑을거다ㅋㅋ 문재인이 3년동안 북한 시다바리짓 하는거에 질려버림	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	김여정도 모자라 한낱 주방장에게까지 무참히 능멸당하는 문재앙 이런데도 거짓평화 운운하며 우리국민들을 우롱하고 있다 이제그만 문재앙 끌어내리자 정상인간이 아니다 대한민국 국민의 적이다 !!!!	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	이제 고만합시다 그정도 했으면  됐어요우리 국민들이 걔들한테 뭐 잘 못한게 있다고 국민까지 끌어들이면서 그래요?진짜 그만합시다	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	제발 좀 정신차리고 경제나 살펴라.  옥류관 주방장에게 쪽 팔리지 않냐? 허당 쩝쩝님아~	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	진짜 정신병자같음	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	문재인은 공산주의자다	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	이전 정권들 뻑하면 교전이니 뭐니 했는데 지금은 소리만 크지 조용하고 사상자가 없어 맘편하다 지지합니다	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	맞는말씀.. 평화가 경제다!! 정권 바뀌고 사상자 한명도 안나왔다	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	미꾸라지 몇마리가 개이버 악플로 도배를 했네..ㅋ 이명박근혜 때 남북관계 개선을 위해 뭘했는지 나열좀 해봐라.. 수구 꼬올통들아 맨날 미사일 쏘는거 지켜본거 말고 기억이 없다.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	아니 모든 국민아 분노하는데 무슨 얼어죽을 8천만 겨레타령이야? 공감을 못하는건가? 도대체 어느나라 대통령이야?	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	오히려 이명박근혜때가 더 평화로웠다.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	8천만에서 나는 빼주라, 너같은새끼랑 겨레하기 싫다	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	문통의 정체가 뭘까???대통령이 된 이유가 지가족에게 집사주고 시계사준 것때문에 자살한 노통의 원수를 갚으려고 ??? 세상은 넓고 대한민국의 미래는 창창한데 한방에 골로 보내는 능력 이통 박통보다도 못하다네요 ㅠ	
