10새	10새기	10새리	10세리	10쉐이	10쉑	10스	10쌔	10쌔기	10쎄	10알	10창	10탱	18것	18넘	쒸뻘	씨팔	염병	좁밥	찌랄	빡치네
좃이	좃찐	좆같	좆까	좆나	좆또	좆만	좆밥	좆이	좆찐	좇같	좇이	좌식	주글	주글래	쒸팔	씨펄	엿같	좃	창녀	빡친다
개색키	개색히	개섀끼	개세	개세끼	개세이	개소리	개쑈	개쇳기	개수작	개쉐	개쉐리	개쉐이	개쉑	개쉽	쒸펄	씸년	옘병	좃까	캐년	섹스
돌아이	돌은놈	되질래	뒈져	뒈져라	뒈진	뒈진다	뒈질	뒤질래	등신	디져라	디진다	디질래	딩시	따식	쓰바	씸뇬	옘빙	좃또	캐놈	시발년
뻐큐	뻑큐	뽁큐	상넘이	상놈을	상놈의	상놈이	새갸	새꺄	새끼	새새끼	새키	색끼	생쑈	세갸	쓰박	씸새끼	오입	좃만	캐스끼	시발놈
싶알	싸가지	싹아지	쌉년	쌍넘	쌍년	쌍놈	쌍뇬	쌔끼	쌕	쌩쑈	쌴년	썅	썅년	썅놈	쓰발	씹같	왜년	좃밥	캐스키	쓰벌놈
씸년	씸뇬	씸새끼	씹같	씹년	씹뇬	씹보지	씹새	씹새기	씹새끼	씹새리	씹세	씹쉐	씹스키	씹쌔	쓰벌	씹년	왜놈	좃이	캐시키	씨발년
조까치	조낸	조또	조랭	조빠	조쟁이	조지냐	조진다	조찐	조질래	존나	존나게	존니	존만	존만한	쓰팔	씹뇬	욤병	좆	개년이	씨발년아
18색	18세끼	18세리	18섹	18쉑	18스	18아	ㄱㅐ	ㄲㅏ	ㄲㅑ	ㄲㅣ	ㅅㅂㄹㅁ	ㅅㅐ	ㅆㅂㄹㅁ	ㅆㅍ	씁새	씹보지	육갑	좃찐	팔럼	씨발놈
죽을래	죽통	쥐랄	쥐롤	쥬디	지랄	지럴	지롤	지미랄	짜식	짜아식	쪼다	쫍빱	찌랄	창녀	씁얼	씹새	은년	좆같	퍽큐	씨발놈아
개자지	개접	개좆	개좌식	개허접	걔새	걔수작	걔시끼	걔시키	걔썌	걸레	게색기	게색끼	광뇬	구녕	씌파	씹새기	을년	좆까	호로	씹쎄
뚜쟁	띠바	띠발	띠불	띠팔	메친넘	메친놈	미췬	미췬	미친	미친넘	미친년	미친놈	미친새끼	미친스까이	씨끼	씹새끼	이년	좆나	호로놈	염병알
쉐에기	쉐키	쉑	쉣	쉨	쉬발	쉬밸	쉬벌	쉬뻘	쉬펄	쉽알	스패킹	스팽	시궁창	시끼	씨댕	씹새리	이새키	좆또	호로새끼	엿드셈
쒸팔	쒸펄	쓰바	쓰박	쓰발	쓰벌	쓰팔	씁새	씁얼	씌파	씨8	씨끼	씨댕	씨뎅	씨바	씨뎅	씹세	이스끼	좆만	호로색	엿먹어
씹헐	아가리	아갈	아갈이	아갈통	아구창	아구통	아굴	얌마	양넘	양년	양놈	엄창	엠병	여물통	씨바	씹쉐	이스키	좆밥	호로쉑	엿먹어라
같은뇬	개같은	개구라	개년	개놈	개뇬	개대중	개독	개돼중	개랄	개보지	개뻥	개뿔	개새	개새기	씨바랄	씹스키	자지	좆이	호로스키	왕따
걔시끼	호로놈	개랄	호로색	호로쉑	호로스까이	호로스키	후라들	후래자식	후레	후뢰	씨ㅋ발	ㅆ1발	씌발	띠발	씨박	씹쌔	잠지	좆찐	후라들	왕따새끼
뉘미럴	니귀미	니기미	니미	니미랄	니미럴	니미씹	니아배	니아베	니아비	니어매	니어메	니어미	닝기리	닝기미	씨발	씹이	전나	좇같	후래자식	우라질
벼엉신	병쉰	병신	부랄	부럴	불알	불할	붕가	붙어먹	뷰웅	븅	븅신	빌어먹	빙시	빙신	씨방	씹자지	접년	좇이	후레	잡년
시불	시브랄	시팍	시팔	시펄	신발끈	심발끈	심탱	십8	십라	십새	십새끼	십세	십쉐	십쉐이	씨방새	씹질	젖밥	좆병신	후뢰	잡놈
씨벌	씨벨	씨봉	씨봉알	씨부랄	씨부럴	씨부렁	씨부리	씨불	씨붕	씨브랄	씨빠	씨빨	씨뽀랄	씨앙	씨방세	씹창	조까	주글	개놈아	조져라
육갑	은년	을년	이년	이새끼	이새키	이스끼	이스키	임마	자슥	잡것	잡넘	잡년	잡놈	저년	씨밸	씹탱	조까치	주글래	개놈이	좃같네
앰창	섹쓰	강간	창녀	씹	18노	18놈	18뇬	18럼	18롬	18새	18새끼	개새키	개색기	개색끼	씨뱅	씹퇭	조낸	주데이	개새꺄	좃같다
에자	시발	개넌	챵녀	야동	주뎅	주뎅이	주둥아리	주둥이	주접	주접떨	죽고잡	뛰발	띠ㅋ발	뉘뮈	씨벌	씹팔	조또	주뎅	개새끼야	좆같네
엠창	시팔	개년	클리토리스	애자	개시키	개십새기	개십새끼	개쐑	개씹	개아들	개자슥	뎡신	도라이	돈놈	씨벨	씹할	조랭	주뎅이	개시발	좆같다
염병	쌍놈	개놈	페니스	섹수	또라이	똘아이	똘아이	뙈놈	뙤놈	뙨넘	뙨놈	빠구리	빠굴	빠큐	씨봉	씹헐	조빠	주둥아리	개쌍	지랄마
옘병	쌍년	개뇬	화냥년	섹스	세끼	섹스	쇼하네	쉐	쉐기	쉐끼	쉐리	십쌔	십창	십탱	씨봉알	아갈통	조쟁이	주접떨	개쌍년	지랄병
유방	쌕수	뎡신	좆	섹쑤	써벌	썩을년	썩을놈	쎄꺄	쎄엑	쒸벌	쒸뻘	씨팍	씨팔	씨펄	씨부랄	아구창	조지냐	죽고잡	개쌍놈	짜져
음경	쌕스	게세끼	asshole	새키	씹자지	씹질	씹창	씹탱	씹퇭	씹팔	씹할	접년	젖밥	조까	씨부럴	아구통	조진다	죽통	개썅	짜져라
음란	쌕쑤	꼬추	bastard	pussy	좁년	좆	좁밥	좃까	좃또	좃만	좃밥	18년	미틴	ㅆㅣ	씨부렁	아굴	조찐	쥐랄	개썅년	찐따
음모	쌕쓰	늬미	bitch	shit	ㅆ앙	ㅍㅏ	개세	갈보	갈보년	강아지	같은년	주데이	시댕	캐년	씨부리	애미	조질래	쥐롤	개썅놈	찐따새끼
음부	썅놈	니기미	cock	sibal	캐놈	캐스끼	캐스키	캐시키	탱구	팔럼	퍽큐	개스끼	씨바랄	구라	씨불	앰창	존나	쥬디	개씨발	처맞을래
ㅈ편집	썅년	니미	damn	suck	구멍	그년	그새끼	냄비	놈현	뇬	눈깔	때놈	염병	십스키	씨붕	얌마	존나게	지랄	개지랄	쳐맞을래
