id,X,Y,M,V
2800,-269.1015,-31.386923,109.36695,0.42839903
2801,323.1792,-289.64658,89.623024,0.3332172
2802,-241.02846,121.79012,27.42288,0.31259698
2803,158.80345,275.41217,26.49397,0.39192206
2804,-173.10788,186.43262,128.1751,0.36346215
2805,250.89035,-137.73103,44.85075,0.5534677
2806,-202.47229,234.62823,113.583885,0.617564
2807,-208.7194,-313.41876,35.064106,1.0232234
2808,-178.02475,111.363976,177.0216,0.34410065
2809,126.01996,357.93408,50.31882,0.9301154
2810,46.78247,103.46139,128.18336,0.8718912
2811,-228.6875,256.45187,86.872345,0.20347136
2812,217.89447,315.274,101.311905,0.5398839
2813,-13.921968,-3.3469155,51.30575,0.23208398
2814,-33.300095,-145.89005,38.405224,0.97765493
2815,-320.69595,-285.01974,104.87243,1.0030326
2816,4.4125347,-233.99792,46.2973,0.4881094
2817,-52.30211,-169.58986,158.33186,0.41694182
2818,13.178129,263.68814,78.75782,0.7291922
2819,189.6497,-266.0146,140.45996,0.3802585
2820,224.97209,-352.69125,78.61899,0.5615367
2821,-313.854,-16.688929,90.47856,0.1848337
2822,344.22968,159.48085,36.810566,0.43496448
2823,305.87317,-116.611626,107.76007,0.58664876
2824,282.93652,-311.30484,47.293713,0.87346095
2825,226.016,-373.65128,56.91706,0.5338735
2826,205.61557,207.02733,63.104225,0.68274146
2827,222.01164,202.75563,127.12716,0.3630293
2828,336.5937,158.23015,151.5622,0.85481
2829,-108.70538,395.3326,89.04807,0.43007833
2830,249.69661,-44.931183,58.557858,0.48782808
2831,-159.23929,142.35478,100.571724,0.7223094
2832,326.53226,-283.54562,42.654823,0.5920486
2833,-359.36993,-184.44995,142.0868,0.4313692
2834,200.5311,-317.3588,128.56181,1.006247
2835,-153.97856,-12.840623,97.6345,0.6851542
2836,-386.87286,283.12216,141.12073,0.4634313
2837,116.808105,391.75128,92.36874,0.29184967
2838,-160.31407,-265.48157,143.31784,0.20562619
2839,-159.79651,318.35614,98.43976,0.48342663
2840,367.99716,243.18654,135.72708,0.8150361
2841,0.4065304,-279.3634,41.442463,0.45720196
2842,-114.11992,302.19473,167.3378,0.80099064
2843,-401.06537,-294.79233,62.301212,0.42666322
2844,-334.9614,310.23163,96.704056,0.24993604
2845,126.447685,-160.1118,25.075697,0.31128663
2846,142.82373,-320.83975,65.20151,0.22321743
2847,265.33084,-202.10466,109.2408,0.73314065
2848,118.720604,48.004326,160.04056,0.4926111
2849,301.64487,16.832487,143.37413,0.23623472
2850,-327.17358,-8.314997,60.56002,0.2843637
2851,372.37894,-115.4481,96.28692,0.9591893
2852,-328.9213,-195.22044,64.65633,0.22958893
2853,349.16455,-289.1232,40.289806,0.55527407
2854,-389.1944,56.40626,114.04393,0.98851025
2855,-291.45282,252.75081,172.54025,0.5816722
2856,-333.637,-282.79205,139.59433,0.34987432
2857,266.6172,-97.41991,117.5436,0.53389966
2858,-156.42313,171.04388,100.34655,0.76127183
2859,-27.863909,-128.67442,74.686424,0.8040374
2860,-350.74948,110.83723,36.967117,0.24890584
2861,365.12488,61.802425,134.79637,0.6890562
2862,62.77469,34.722935,98.287346,0.7530752
2863,-312.1191,319.48477,142.8227,0.78040904
2864,-308.50278,-39.045933,25.152788,0.474958
2865,402.7382,-283.0212,71.571266,0.81733626
2866,161.14574,-81.04301,140.35669,0.50844395
2867,305.6698,203.09612,117.03779,0.45114702
2868,91.82748,-114.44492,61.75657,0.6145631
2869,47.22328,69.982346,25.585268,0.86743146
2870,-274.09418,-183.33775,166.66348,0.63740194
2871,-138.91914,22.098022,74.50278,0.22039801
2872,-325.23337,-78.42528,131.95271,0.26675993
2873,137.99973,-393.54538,151.52943,0.60652447
2874,81.420235,-117.9616,109.78936,0.32382947
2875,-181.83539,-315.1472,61.80927,0.9316161
2876,8.047819,-299.2133,130.16849,0.2688288
2877,207.71596,198.10994,83.41474,0.36237067
2878,-159.44452,-223.92407,26.032446,0.47565812
2879,274.93396,287.33774,77.62969,0.2065484
2880,388.51163,-240.91812,149.4924,0.4208284
2881,-334.74817,23.348867,122.53768,0.7083959
2882,-277.5829,250.49599,153.67749,0.91089016
2883,-208.66014,-22.374542,152.8102,0.5615565
2884,352.98328,209.56256,104.49453,0.73061675
2885,113.958824,-130.62671,116.88854,0.7281445
2886,185.0992,-310.56754,103.26307,0.5405926
2887,-238.81583,38.13115,148.89743,0.88088363
2888,-190.08751,185.45631,107.88164,0.3280514
2889,366.88312,-24.820963,119.81722,0.38796085
2890,297.58655,-33.15331,77.74041,0.9279109
2891,86.924805,239.90952,27.87335,0.70366484
2892,-20.863344,-41.229664,76.74915,0.39970654
2893,-322.49863,-320.22626,122.083534,0.24219483
2894,-226.23616,-309.8915,92.25398,0.54163986
2895,-184.62018,-330.56308,127.43015,0.4817745
2896,-295.7332,-23.883863,135.89851,0.5012496
2897,151.71391,-350.8373,145.34369,0.259934
2898,94.567154,-330.06223,101.2079,1.007179
2899,-165.0313,196.98117,67.76447,0.39344263
2900,326.47116,-165.57051,152.21497,0.8135027
2901,182.40459,160.65059,57.073704,0.45301932
2902,-361.56485,-303.17087,107.51742,0.46564054
2903,-351.14478,91.49342,128.22943,0.8887138
2904,-298.71704,353.41287,68.28481,0.7666785
2905,251.5178,-82.50017,108.57711,0.19487089
2906,-33.010223,-132.12166,82.86175,0.7383036
2907,-182.90417,-178.7014,108.5808,0.7803194
2908,71.81839,253.29184,88.89519,0.5628813
2909,33.317078,404.05554,77.57543,0.31998235
2910,-79.110016,-29.872332,158.4124,0.68531585
2911,40.147713,-312.54498,161.77727,0.34935313
2912,-307.15,362.76907,154.96812,0.5936147
2913,30.543852,84.18171,148.33194,0.4258632
2914,-329.9611,305.84256,50.43771,0.26046222
2915,-272.59412,-284.67004,40.313805,0.36355847
2916,-144.71988,-235.00813,65.3708,0.7361681
2917,-65.08956,-191.63231,70.696846,0.19774729
2918,120.45023,-348.98148,153.84889,0.7069531
2919,131.60292,202.45201,146.26031,0.1932692
2920,162.54478,-285.02402,39.090183,0.2776962
2921,101.09653,-15.484055,122.70667,0.19923657
2922,-85.147736,-118.62659,157.73291,0.25514895
2923,-170.21175,378.1584,140.9542,0.28673655
2924,180.68724,-364.06775,94.59757,0.33372837
2925,-244.95363,197.65318,44.96928,0.40518922
2926,-295.33493,328.47806,117.3915,0.7573246
2927,-280.07733,297.3685,91.85067,0.4976229
2928,-346.6411,-135.1885,122.58433,0.23142976
2929,6.4856243,355.9175,116.86976,0.5871125
2930,-124.35815,-83.714226,86.87788,0.8458856
2931,-172.7664,315.62314,25.656956,0.8386532
2932,195.25426,329.34976,159.11006,0.67962223
2933,-22.510454,50.03113,169.28809,0.30914956
2934,275.2047,-223.28685,80.50053,0.22173089
2935,-287.40094,-298.39014,86.89388,0.5458949
2936,-194.92693,-309.33984,69.915474,0.36288375
2937,390.28723,-10.8578205,38.387363,0.54482347
2938,188.34723,-203.94424,58.70969,0.66904384
2939,-7.823633,-310.54636,164.404,0.7409206
2940,-260.7487,138.20885,66.2971,0.6826496
2941,-236.76271,-49.519695,25.269201,0.4831254
2942,-314.08783,320.92288,144.01195,0.72086173
2943,-355.94952,-230.39204,117.73826,0.79537493
2944,59.219162,251.69016,173.18947,0.5213797
2945,-263.6084,396.54025,133.697,0.57178384
2946,216.00963,-325.11606,136.42484,0.5469662
2947,19.661406,-336.70804,53.788692,0.9140229
2948,140.36305,277.35358,47.44112,0.23345488
2949,202.49554,355.14255,158.16049,0.6446429
2950,38.396805,121.575584,116.023575,0.7268491
2951,268.16046,394.88406,63.108753,0.5901845
2952,-8.363283,-341.28452,102.656715,0.99645764
2953,152.86908,41.664597,172.70932,0.8966326
2954,194.25589,-308.9357,28.79556,0.6130125
2955,-24.364809,217.64629,107.891495,0.6926265
2956,-65.09633,-348.2097,71.74262,0.26901394
2957,-218.82262,-372.61954,98.66007,0.25549418
2958,-374.35587,186.79427,137.75882,0.68036413
2959,-178.60445,-137.54213,74.38268,0.44859403
2960,-283.848,-153.37537,103.044525,0.55410355
2961,-373.4781,65.140274,58.23464,0.7449811
2962,-187.50023,-209.93071,47.666286,0.5314723
2963,7.593588,-374.06454,101.05858,0.7017245
2964,-29.210024,-93.4107,26.579342,0.5477111
2965,95.3698,190.43597,127.11204,0.5998878
2966,-237.86465,-237.217,198.68225,0.8130383
2967,349.57938,303.5142,48.635258,0.50845695
2968,118.740555,385.63846,141.93237,0.25388342
2969,22.816267,276.2665,168.53267,0.27133864
2970,-0.035982095,-191.3149,151.14651,0.7753878
2971,141.37721,-119.160805,54.22444,0.21089453
2972,73.52786,-181.68044,85.261955,0.77175653
2973,85.23695,-103.48326,159.97664,0.4203667
2974,-110.25902,11.388478,115.8036,0.81849056
2975,326.59686,-100.8338,76.89159,0.29202956
2976,236.92982,-246.91267,41.88994,0.21689075
2977,-220.44319,-176.02519,105.57069,0.20633882
2978,78.57239,-104.280655,52.106358,0.32961625
2979,-1.543108,223.26149,104.06128,0.73962337
2980,296.14804,-270.51785,156.49109,0.57102954
2981,304.84747,211.41159,70.31596,0.96866953
2982,-289.02512,328.93216,67.2083,0.65809244
2983,-144.62798,-347.18008,33.115856,0.9537614
2984,244.30371,268.70175,32.571323,0.86142224
2985,-0.8632526,-230.55254,40.924305,0.21383852
2986,23.452696,7.894578,107.22017,0.8388199
2987,-154.32164,-95.74516,59.33861,0.43866056
2988,318.32187,-3.0224364,145.64131,0.3246644
2989,73.23266,-197.97012,26.361834,0.4637782
2990,272.38953,390.03094,136.78123,0.8952293
2991,-88.55637,-337.65225,31.89863,0.27986056
2992,-192.42139,117.38659,56.175823,0.23283774
2993,295.01526,-129.99217,111.717545,0.22630829
2994,-290.81726,357.83536,91.27616,0.6775414
2995,-385.69208,-266.3109,115.32331,0.40873307
2996,-72.70108,-353.92984,50.09853,0.51996154
2997,139.54796,-88.9368,40.589596,0.6932541
2998,-357.55536,90.17225,141.2535,0.39919245
